===== Machine 2 has PID 6315 and clockspeed 1 Hz =====
EVENT[T: 1457884420][LC: 1] - RECIEVE: Proc 2. Queue size is 0
EVENT[T: 1457884421][LC: 4] - RECIEVE: Proc 2. Queue size is 0
EVENT[T: 1457884422][LC: 6] - RECIEVE: Proc 2. Queue size is 0
EVENT[T: 1457884423][LC: 7] - RECIEVE: Proc 2. Queue size is 2
EVENT[T: 1457884424][LC: 12] - RECIEVE: Proc 2. Queue size is 1
EVENT[T: 1457884425][LC: 14] - RECIEVE: Proc 2. Queue size is 0
EVENT[T: 1457884426][LC: 26] - RECIEVE: Proc 2. Queue size is 0
EVENT[T: 1457884427][LC: 31] - RECIEVE: Proc 2. Queue size is 1
EVENT[T: 1457884428][LC: 34] - RECIEVE: Proc 2. Queue size is 2
EVENT[T: 1457884429][LC: 37] - RECIEVE: Proc 2. Queue size is 3
EVENT[T: 1457884430][LC: 40] - RECIEVE: Proc 2. Queue size is 3
EVENT[T: 1457884431][LC: 42] - RECIEVE: Proc 2. Queue size is 2
EVENT[T: 1457884432][LC: 45] - RECIEVE: Proc 2. Queue size is 2
EVENT[T: 1457884433][LC: 50] - RECIEVE: Proc 2. Queue size is 2
EVENT[T: 1457884434][LC: 57] - RECIEVE: Proc 2. Queue size is 2
EVENT[T: 1457884435][LC: 63] - RECIEVE: Proc 2. Queue size is 1
EVENT[T: 1457884436][LC: 66] - RECIEVE: Proc 2. Queue size is 2
EVENT[T: 1457884437][LC: 71] - RECIEVE: Proc 2. Queue size is 3
EVENT[T: 1457884438][LC: 77] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884439][LC: 81] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884440][LC: 83] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884441][LC: 86] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884442][LC: 88] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884443][LC: 89] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884444][LC: 91] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884445][LC: 99] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884446][LC: 102] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884447][LC: 103] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884448][LC: 109] - RECIEVE: Proc 2. Queue size is 3
EVENT[T: 1457884449][LC: 122] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884450][LC: 128] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884451][LC: 129] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884452][LC: 134] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884453][LC: 144] - RECIEVE: Proc 2. Queue size is 4
EVENT[T: 1457884454][LC: 145] - RECIEVE: Proc 2. Queue size is 5
EVENT[T: 1457884455][LC: 147] - RECIEVE: Proc 2. Queue size is 6
EVENT[T: 1457884456][LC: 151] - RECIEVE: Proc 2. Queue size is 6
EVENT[T: 1457884457][LC: 152] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884458][LC: 154] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884459][LC: 168] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884460][LC: 171] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884461][LC: 172] - RECIEVE: Proc 2. Queue size is 6
EVENT[T: 1457884462][LC: 178] - RECIEVE: Proc 2. Queue size is 7
EVENT[T: 1457884463][LC: 181] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884464][LC: 185] - RECIEVE: Proc 2. Queue size is 8
EVENT[T: 1457884465][LC: 187] - RECIEVE: Proc 2. Queue size is 11
EVENT[T: 1457884466][LC: 191] - RECIEVE: Proc 2. Queue size is 10
EVENT[T: 1457884467][LC: 192] - RECIEVE: Proc 2. Queue size is 10
EVENT[T: 1457884468][LC: 200] - RECIEVE: Proc 2. Queue size is 11
EVENT[T: 1457884469][LC: 209] - RECIEVE: Proc 2. Queue size is 12
EVENT[T: 1457884470][LC: 212] - RECIEVE: Proc 2. Queue size is 13
EVENT[T: 1457884471][LC: 214] - RECIEVE: Proc 2. Queue size is 12
EVENT[T: 1457884472][LC: 218] - RECIEVE: Proc 2. Queue size is 12
EVENT[T: 1457884473][LC: 221] - RECIEVE: Proc 2. Queue size is 13
EVENT[T: 1457884474][LC: 222] - RECIEVE: Proc 2. Queue size is 12
EVENT[T: 1457884475][LC: 223] - RECIEVE: Proc 2. Queue size is 11
EVENT[T: 1457884476][LC: 225] - RECIEVE: Proc 2. Queue size is 11
EVENT[T: 1457884477][LC: 233] - RECIEVE: Proc 2. Queue size is 11
EVENT[T: 1457884478][LC: 234] - RECIEVE: Proc 2. Queue size is 10
EVENT[T: 1457884479][LC: 235] - RECIEVE: Proc 2. Queue size is 14
