===== Machine 1 has PID 8236 and clockspeed 10 Hz =====
EVENT[T: 1457886269][LC: 1] - INTERNAL EVENT: Code 8
EVENT[T: 1457886269][LC: 2] - SEND: Proc 1 to proc 0
EVENT[T: 1457886269][LC: 12] - RECIEVE: Proc 1. Queue size is 0
EVENT[T: 1457886269][LC: 13] - RECIEVE: Proc 1. Queue size is 1
EVENT[T: 1457886270][LC: 15] - RECIEVE: Proc 1. Queue size is 3
EVENT[T: 1457886270][LC: 18] - RECIEVE: Proc 1. Queue size is 5
EVENT[T: 1457886270][LC: 19] - RECIEVE: Proc 1. Queue size is 7
EVENT[T: 1457886270][LC: 23] - RECIEVE: Proc 1. Queue size is 9
EVENT[T: 1457886270][LC: 25] - RECIEVE: Proc 1. Queue size is 11
EVENT[T: 1457886270][LC: 26] - RECIEVE: Proc 1. Queue size is 10
EVENT[T: 1457886270][LC: 29] - RECIEVE: Proc 1. Queue size is 11
EVENT[T: 1457886270][LC: 31] - RECIEVE: Proc 1. Queue size is 13
EVENT[T: 1457886270][LC: 32] - RECIEVE: Proc 1. Queue size is 13
EVENT[T: 1457886270][LC: 33] - RECIEVE: Proc 1. Queue size is 14
EVENT[T: 1457886271][LC: 37] - RECIEVE: Proc 1. Queue size is 14
EVENT[T: 1457886271][LC: 38] - RECIEVE: Proc 1. Queue size is 16
EVENT[T: 1457886271][LC: 39] - RECIEVE: Proc 1. Queue size is 19
EVENT[T: 1457886271][LC: 44] - RECIEVE: Proc 1. Queue size is 20
EVENT[T: 1457886271][LC: 45] - RECIEVE: Proc 1. Queue size is 21
EVENT[T: 1457886271][LC: 47] - RECIEVE: Proc 1. Queue size is 22
EVENT[T: 1457886271][LC: 56] - RECIEVE: Proc 1. Queue size is 22
EVENT[T: 1457886271][LC: 57] - RECIEVE: Proc 1. Queue size is 23
EVENT[T: 1457886271][LC: 59] - RECIEVE: Proc 1. Queue size is 23
EVENT[T: 1457886271][LC: 63] - RECIEVE: Proc 1. Queue size is 23
EVENT[T: 1457886272][LC: 65] - RECIEVE: Proc 1. Queue size is 23
EVENT[T: 1457886272][LC: 68] - RECIEVE: Proc 1. Queue size is 23
EVENT[T: 1457886272][LC: 73] - RECIEVE: Proc 1. Queue size is 22
EVENT[T: 1457886272][LC: 78] - RECIEVE: Proc 1. Queue size is 22
EVENT[T: 1457886272][LC: 79] - RECIEVE: Proc 1. Queue size is 21
EVENT[T: 1457886272][LC: 85] - RECIEVE: Proc 1. Queue size is 20
EVENT[T: 1457886272][LC: 86] - RECIEVE: Proc 1. Queue size is 19
EVENT[T: 1457886272][LC: 90] - RECIEVE: Proc 1. Queue size is 18
EVENT[T: 1457886272][LC: 92] - RECIEVE: Proc 1. Queue size is 17
EVENT[T: 1457886272][LC: 93] - RECIEVE: Proc 1. Queue size is 20
EVENT[T: 1457886273][LC: 94] - RECIEVE: Proc 1. Queue size is 21
EVENT[T: 1457886273][LC: 95] - RECIEVE: Proc 1. Queue size is 22
EVENT[T: 1457886273][LC: 96] - RECIEVE: Proc 1. Queue size is 21
EVENT[T: 1457886273][LC: 97] - RECIEVE: Proc 1. Queue size is 21
EVENT[T: 1457886273][LC: 105] - RECIEVE: Proc 1. Queue size is 21
EVENT[T: 1457886273][LC: 106] - RECIEVE: Proc 1. Queue size is 23
EVENT[T: 1457886273][LC: 107] - RECIEVE: Proc 1. Queue size is 23
EVENT[T: 1457886273][LC: 108] - RECIEVE: Proc 1. Queue size is 24
EVENT[T: 1457886273][LC: 120] - RECIEVE: Proc 1. Queue size is 24
EVENT[T: 1457886273][LC: 121] - RECIEVE: Proc 1. Queue size is 24
EVENT[T: 1457886274][LC: 122] - RECIEVE: Proc 1. Queue size is 23
EVENT[T: 1457886274][LC: 127] - RECIEVE: Proc 1. Queue size is 24
EVENT[T: 1457886274][LC: 137] - RECIEVE: Proc 1. Queue size is 25
EVENT[T: 1457886274][LC: 143] - RECIEVE: Proc 1. Queue size is 25
EVENT[T: 1457886274][LC: 144] - RECIEVE: Proc 1. Queue size is 24
EVENT[T: 1457886274][LC: 159] - RECIEVE: Proc 1. Queue size is 24
EVENT[T: 1457886274][LC: 188] - RECIEVE: Proc 1. Queue size is 25
EVENT[T: 1457886274][LC: 192] - RECIEVE: Proc 1. Queue size is 27
EVENT[T: 1457886274][LC: 193] - RECIEVE: Proc 1. Queue size is 26
EVENT[T: 1457886274][LC: 194] - RECIEVE: Proc 1. Queue size is 26
EVENT[T: 1457886275][LC: 201] - RECIEVE: Proc 1. Queue size is 28
EVENT[T: 1457886275][LC: 203] - RECIEVE: Proc 1. Queue size is 27
EVENT[T: 1457886275][LC: 207] - RECIEVE: Proc 1. Queue size is 28
EVENT[T: 1457886275][LC: 208] - RECIEVE: Proc 1. Queue size is 29
EVENT[T: 1457886275][LC: 216] - RECIEVE: Proc 1. Queue size is 30
EVENT[T: 1457886275][LC: 222] - RECIEVE: Proc 1. Queue size is 29
EVENT[T: 1457886275][LC: 228] - RECIEVE: Proc 1. Queue size is 29
EVENT[T: 1457886275][LC: 230] - RECIEVE: Proc 1. Queue size is 32
EVENT[T: 1457886275][LC: 233] - RECIEVE: Proc 1. Queue size is 31
EVENT[T: 1457886275][LC: 236] - RECIEVE: Proc 1. Queue size is 32
EVENT[T: 1457886276][LC: 240] - RECIEVE: Proc 1. Queue size is 31
EVENT[T: 1457886276][LC: 245] - RECIEVE: Proc 1. Queue size is 32
EVENT[T: 1457886276][LC: 249] - RECIEVE: Proc 1. Queue size is 34
EVENT[T: 1457886276][LC: 252] - RECIEVE: Proc 1. Queue size is 34
EVENT[T: 1457886276][LC: 265] - RECIEVE: Proc 1. Queue size is 36
EVENT[T: 1457886276][LC: 267] - RECIEVE: Proc 1. Queue size is 37
EVENT[T: 1457886276][LC: 270] - RECIEVE: Proc 1. Queue size is 38
EVENT[T: 1457886276][LC: 271] - RECIEVE: Proc 1. Queue size is 38
EVENT[T: 1457886276][LC: 280] - RECIEVE: Proc 1. Queue size is 37
EVENT[T: 1457886276][LC: 288] - RECIEVE: Proc 1. Queue size is 37
EVENT[T: 1457886277][LC: 292] - RECIEVE: Proc 1. Queue size is 37
EVENT[T: 1457886277][LC: 296] - RECIEVE: Proc 1. Queue size is 36
EVENT[T: 1457886277][LC: 299] - RECIEVE: Proc 1. Queue size is 36
EVENT[T: 1457886277][LC: 300] - RECIEVE: Proc 1. Queue size is 38
EVENT[T: 1457886277][LC: 302] - RECIEVE: Proc 1. Queue size is 37
EVENT[T: 1457886277][LC: 313] - RECIEVE: Proc 1. Queue size is 39
EVENT[T: 1457886277][LC: 317] - RECIEVE: Proc 1. Queue size is 41
EVENT[T: 1457886277][LC: 318] - RECIEVE: Proc 1. Queue size is 43
